liyi@liyi-Lenovo-IdeaPad-Y400:~/svn/dblpmining$ python hw1.py 1
[[u'Peilin Zhao', u'Pengcheng Wu'], 0.09523809523809523]
[[u'Charu C. Aggarwal', u'Guo-Jun Qi'], 0.09262435677530016]
[[u'Jing Gao', u'Mohammad M. Masud'], 0.09191176470588236]
[[u'Wei Fan', u'Sethuraman Panchanathan'], 0.09077705156136529]
[[u'Christos Faloutsos', u'Nicholas D. Sidiropoulos'], 0.08888888888888889]
[[u'Aixin Sun', u'Jianshu Weng'], 0.08881578947368421]
[[u'Fei Wang 0001', u'Meng Jiang'], 0.08709677419354839]
[[u'Kilian Q. Weinberger', u'Wenlin Chen'], 0.08653846153846152]
[[u'Ming-Syan Chen', u'Chih-Ya Shen'], 0.08648648648648649]
[[u'Craig Macdonald', u'Eugene Kharitonov'], 0.0857142857142857]
[[u'Jianyong Wang', u'Min Wang'], 0.0855614973262032]
[[u'Wei Fan', u'Jing Gao'], 0.08528770985518391]
[[u'Evimaria Terzi', u'Azer Bestavros'], 0.08333333333333333]
[[u'Evimaria Terzi', u'Vatche Ishakian'], 0.08333333333333333]
[[u'Ping Luo', u'Peifeng Yin'], 0.08035714285714285]
